model_id,label,model_type,family,params_M,mflops_tok,hidden_size,n_layers_unique,max_iters,notes,ppl,avg10,arc_c,arc_e,boolq,copa,hella,obqa,piqa,sciq,wino,mmlu,gsm8k
reg_v1_egpt_12x1_d768_r16,reg-V1-EGPT+R16,Register-EGPT,register,176,286,768,12,1,EGPT+16 regs,47.1949,46.2,23.805,45.918,57.584,61.0,30.522,27.4,62.133,76.5,52.17,24.968,1.289
reg_v56_1x12_d768_r128,reg-V56-Rec+R128,Register-EGPT,register,143,286,768,1,12,Recurrent+128 regs,80.402,43.18,23.038,38.005,60.948,55.0,27.863,27.8,59.032,65.5,51.223,23.401,0.682
reg_v73_6gpt_1egpt6x_d1280_r128,reg-V73+R128,Register-Hybrid,register,282,511,1280,7,6,V73+128 regs,28.8155,50.8,28.669,53.872,52.477,71.0,39.335,32.8,67.9,84.7,50.908,26.342,0.607
reg_v41_sandwich_2g8e2g_d768_r128,reg-V41-Sandwich+R128,Register-Hybrid,register,143,324,768,12,1,Sandwich+128 regs,40.411,47.21,25.597,45.328,60.948,61.0,32.752,29.4,64.363,76.7,51.381,24.591,0.0
reg_h1_6gpt_1egpt6x_d768_r128,reg-H1+R128,Register-Hybrid,register,126,305,768,7,6,H1+128 regs,40.4463,47.83,26.195,46.759,59.939,61.0,32.394,30.2,63.221,79.6,54.301,24.719,0.303
b1_boltz_moe_16x1024_d768_lr2e3,B1 BoltzMoE no-reg,MoE,moe,407,285,768,12,1,16 iso-param experts,51.8988,46.14,22.099,42.929,59.358,66.0,30.542,29.8,61.915,73.4,50.355,25.018,1.365
b2_boltz_moe_repulsion_16x1024_d768_lr2e3,B2 BoltzMoE rep0.01,MoE,moe,407,285,768,12,1,repulsion λ=0.01,52.5035,44.77,23.294,41.709,58.532,59.0,30.283,26.8,62.731,70.7,50.039,24.598,2.274
b3_boltz_moe_dropout_wd_16x1024_d768_lr2e3,B3 BoltzMoE drop+WD,MoE,moe,407,285,768,12,1,dropout+WD=0.3,58.0101,43.82,24.573,41.288,46.147,62.0,29.675,27.4,61.589,70.0,50.908,24.64,1.895
b4_boltz_moe_repulsion_strong_16x1024_d768_lr2e3,B4 BoltzMoE rep0.1,MoE,moe,407,285,768,12,1,repulsion λ=0.1,51.8727,45.3,22.696,43.14,56.667,62.0,30.711,28.2,62.514,72.4,49.882,24.833,1.668
b5_boltz_moe_rep_strong_dropout_wd_16x1024_d768_lr2e3,B5 BoltzMoE rep+drop,MoE,moe,407,285,768,12,1,rep0.1+drop+WD,58.6519,45.29,22.782,41.877,60.275,62.0,29.128,29.2,62.459,71.0,50.513,23.693,2.35
c1_topk_energy_moe_4x2048_top2_d768,C1 TopK 4×2048 top2,MoE,moe,256,285,768,12,1,proper MoE top-2,47.3439,45.8,22.867,45.16,50.0,67.0,31.269,30.2,61.97,74.1,51.066,24.334,2.047
c2_surrogate_boltz_16x1024_d768,C2 SurrogateBoltz,MoE,moe,407,285,768,12,1,KL distil during train,59.4137,43.31,22.696,41.204,47.92,57.0,29.526,27.8,61.045,69.9,52.013,23.999,1.895
c3_attn_moe_2x_d768,C3 AttnMoE 2x,MoE,moe,156,359,768,12,1,attn MoE alignment route,1383.0052,37.85,25.341,31.229,40.917,58.0,27.156,25.8,55.713,37.3,51.934,25.082,
c4_paired_unit_moe_2x_d768,C4 PairedUnit 2x,MoE,moe,250,359,768,12,1,paired attn+FFN units,5637.9029,35.51,22.44,29.167,37.829,58.0,26.3,26.4,50.762,30.1,51.223,22.903,
